OBJECTID_1,STATION NAME,Total Population,White Alone,Black or African American Alone,Asian Alone,American Indian & Alaskan Native Alone,Other Race,Population of Two or More races,Hispanic or Latino,Not Hispanic or Latino,Total Population Percent,White Alone Percent,Black or African American Alone Percent,Asian Alone Percent,American Indian & Alaskan Native Percent,Others Percent,Population of Two or More Races Percent,Hispanic or Latino Percent,Not Hispanic or Latino Percent,Total Population,Under 5 Years,5 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 years and Over,Total Population Percent,Under 5 Years Percent,5 to 17 Years Percent,18 to 24 Years Percent,25 to 34 Years Percent,35 to 44 Years Percent,45 to 54 Years Percent,55 to 64 Years Percent,65 Years and Ober Percent,Total Households,1 Person Households,2 or More Person Households,Family Households,Non-Family Households,Total Households Percent,1 Person Households Percent,2 or More Person Households Percent,Family Households Percent,Non-Family Households Percent,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Owner-Occupied Units,Renter-Occupied Units,Total Housing Units Percent,Occupied Housing Units Percent,Vacant Housing Units Percent,Owner-Occupied Units Percent,Renter-Occupied Units Percent,Occupied Units Percent (Check digit),Population for Education,Number High School Graduate or Higher,Number Bachelor Degree or Better,Educational Total Percent,Percent High School Graduate or Higher,Percent Bachelor Degree or Higher,Estimate Total Number of Families,Estimate Below Poverty,Estimate Number of Families Percent,Estimate Below Poverty Percent,Workers 16 Years and Over,"Car, Truck, or Van - Drove Alone","Car, Truck, or Van - Carpooled",Public Transportation (including Taxi),Walked,Other Means,Worked at Home,Workers 16 Years and Over Percent,"Car, Truck, or Van - Drove Alone Percent","Car, Truck, or Van - Carpooled Percent",Public Transportation (including Taxi) Percent,Walked Percent,Other means Percent,Worked at Home Percent,Median Travel Time to Work (in minutes),Total Number of Households for Income,"Less than $24,999","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or More",Number of Households Percent,"Less than $24,999 Percent","$25,000 to $49,999 Percent","$50,000 to $74,999 Percent","$75,000 to $99,999 Percent","$100,000 to $149,999 Percent","$150,000 or More",Median Household Income,Total Housing Units,"1-unit, detached","1-unit, attached",2 units,3 to 4 units,5 to 9 units,10 to 19 units,20 or more units,Mobile home,"Boat, RV, van, etc.",Total Housing Units Percent,"1-unit, detached Percent","1-unit, attached Percent",2 units Percent,3 to 4 units Percent,5 to 9 Units Percent,10 to 19 units Percent,20 or more units Percent,Mobile home Percent,"Boat, RV, van, etc. Percent",Owned Units (Valued),"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 to $999,999","$1,000,000 or more",Valued Units Percent,"Less than $50,000 Percent","$50,000 to $99,999 Percent","$100,000 to $149,999 Percent","$150,000 to $199,999 Percent","$200,000 to $299,999 Percent","$300,000 to 499,999 Percent","$500,000 to $999,999 Percent","$1,000,000 or more Percent",Median Value (owner-occupied),Household Population for Vehicles,No Vehicle Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,Household Vehicles Percent,No Vehicle Available Percent,1 Vehicle Available Percent,2 Vehicles Available Percent,3 or More Vehicles Available Percent,Specified Renter-Occupied Units,Units with Cash Rent,Less than $200,$200 to $299,$300 to $499,$500 to $749,$750 to $999,"$1,000 to $1,499","$1,500 or More",No Cash Rent,Total Rental Units Percent,Units with Cash Rent Percent,Less than $200 Percent,$200 to $299 Percent,$300 to $499 Percent,$500 to $749 Percent,$750 to $999 Percent,"$1,000 to $1,499 Percent","$1,500 or more Percent",No Cash Rent Percent,Median (gross rent),x,y
46,EDGEWOOD,7986,3795,2886,113,0,669,1046,1297,6689,1,0.48,0.36,0.01,0,0.08,0.13,0.16,0.84,7986,813,1411,1130,943,1052,966,999,672,1,0.1,0.18,0.14,0.12,0.13,0.12,0.13,0.08,2559,556,2003,1911,648,1,0.22,0.78,0.75,0.25,2652,2559,93,1715,844,1,0.96,0.04,0.67,0.33,1,4632,2332,921,1,0.5,0.2,1911,135,1,0.07,3762,3023,417,144,1,121,56,1,0.8,0.11,0.04,0,0.03,0.01,29.29,2559,486,552,465,319,437,300,1,0.19,0.22,0.18,0.12,0.17,0.12,62983.87,2652,1659,653,79,146,27,0,39,49,0,1,0.63,0.25,0.03,0.06,0.01,0,0.01,0.02,0,1715,56,37,186,791,421,163,172,23,1,0.03,0.02,0.11,0.46,0.25,0.1,0.1,0.01,186567.64,2559,95,965,884,499,1,0.04,0.38,0.35,0.2,844,820,15,0,15,49,185,386,194,24,1,0.97,0.02,0,0.02,0.06,0.22,0.46,0.23,0.03,1189.12,460907.9121999964,194425.4001000002
9,FALLS ROAD,6279,4261,913,797,20,81,414,219,6060,1,0.68,0.15,0.13,0,0.01,0.07,0.03,0.97,6279,250,874,488,887,753,912,941,1174,1,0.04,0.14,0.08,0.14,0.12,0.15,0.15,0.19,2774,871,1903,1669,1105,1,0.31,0.69,0.6,0.4,2927,2774,153,1479,1295,1,0.95,0.05,0.53,0.47,1,4667,3565,3304,1,0.76,0.71,1669,76,1,0.05,3897,3028,432,159,41,26,211,1,0.78,0.11,0.04,0.01,0.01,0.05,24.01,2774,235,230,525,433,491,860,1,0.08,0.08,0.19,0.16,0.18,0.31,97921.48,2927,1226,343,0,140,777,188,253,0,0,1,0.42,0.12,0,0.05,0.27,0.06,0.09,0,0,1479,40,22,0,62,359,328,790,166,1,0.03,0.01,0,0.04,0.24,0.22,0.53,0.11,456402.44,2774,81,1056,1246,384,1,0.03,0.38,0.45,0.14,1295,1258,7,0,0,0,0,734,554,37,1,0.97,0.01,0,0,0,0,0.57,0.43,0.03,1423.71,430180.29460000247,189874.6700000018
28,FERNDALE,8681,7401,673,97,20,51,878,462,8219,1,0.85,0.08,0.01,0,0.01,0.1,0.05,0.95,8681,267,1291,940,1236,1079,1199,1194,1475,1,0.03,0.15,0.11,0.14,0.12,0.14,0.14,0.17,3035,524,2511,2332,703,1,0.17,0.83,0.77,0.23,3154,3035,119,2641,394,1,0.96,0.04,0.87,0.13,1,6183,3578,1101,1,0.58,0.18,2332,92,1,0.04,5345,4265,757,91,36,129,67,1,0.8,0.14,0.02,0.01,0.02,0.01,24.03,3035,289,601,545,506,600,494,1,0.1,0.2,0.18,0.17,0.2,0.16,79076.09,3154,2811,162,0,0,24,148,9,0,0,1,0.89,0.05,0,0,0.01,0.05,0,0,0,2641,62,0,126,236,1786,398,176,0,1,0.02,0,0.05,0.09,0.68,0.15,0.07,0,250195.97,3035,142,684,1200,908,1,0.05,0.23,0.4,0.3,394,394,0,0,6,11,10,167,200,0,1,1,0,0,0.02,0.03,0.03,0.42,0.51,0,1552.52,431092.8628000021,168447.03669999912
81,FOREST GLEN,12316,7671,2216,597,167,970,1390,2395,9921,1,0.62,0.18,0.05,0.01,0.08,0.11,0.19,0.81,12316,664,2346,456,1197,1808,1996,1590,2259,1,0.05,0.19,0.04,0.1,0.15,0.16,0.13,0.18,4533,1054,3479,3210,1323,1,0.23,0.77,0.71,0.29,4736,4533,203,3372,1161,1,0.96,0.04,0.74,0.26,1,8850,6685,5760,1,0.76,0.65,3210,106,1,0.03,6481,3674,282,1867,166,62,430,1,0.57,0.04,0.29,0.03,0.01,0.07,37.19,4533,391,595,494,465,988,1600,1,0.09,0.13,0.11,0.1,0.22,0.35,116270.24,4736,3268,338,16,196,461,113,330,14,0,1,0.69,0.07,0,0.04,0.1,0.02,0.07,0,0,3372,24,46,39,136,265,1430,2165,30,1,0.01,0.01,0.01,0.04,0.08,0.42,0.64,0.01,464475.52,4533,267,1493,2138,627,1,0.06,0.33,0.47,0.14,1161,1047,0,14,0,107,56,523,461,114,1,0.9,0,0.01,0,0.09,0.05,0.45,0.4,0.1,1331.26,396283.25150000304,149667.16099999845
100,FREDERICK,8699,6553,1225,449,15,110,694,816,7883,1,0.75,0.14,0.05,0,0.01,0.08,0.09,0.91,8699,389,865,743,1872,1166,1349,1182,1133,1,0.04,0.1,0.09,0.22,0.13,0.16,0.14,0.13,4281,1595,2686,2182,2099,1,0.37,0.63,0.51,0.49,4778,4281,497,2016,2265,1,0.9,0.1,0.47,0.53,1,6702,4432,2698,1,0.66,0.4,2182,208,1,0.1,5305,3526,542,266,586,134,251,1,0.66,0.1,0.05,0.11,0.03,0.05,19.58,4281,862,884,952,587,613,383,1,0.2,0.21,0.22,0.14,0.14,0.09,60359.77,4778,1338,1450,276,395,482,590,247,0,0,1,0.28,0.3,0.06,0.08,0.1,0.12,0.05,0,0,2016,71,35,173,371,670,516,429,10,1,0.04,0.02,0.09,0.18,0.33,0.26,0.21,0,253432.84,4281,545,1887,1467,382,1,0.13,0.44,0.34,0.09,2265,2207,82,29,75,257,415,921,486,58,1,0.97,0.04,0.01,0.03,0.11,0.18,0.41,0.21,0.03,1133.28,365081.2695999965,193810.1297999993
87,FRIENDSHIP HEIGHTS,12755,10890,240,1126,8,122,738,801,11954,1,0.85,0.02,0.09,0,0.01,0.06,0.06,0.94,12755,640,1853,810,1422,1278,1877,1402,3473,1,0.05,0.15,0.06,0.11,0.1,0.15,0.11,0.27,5820,2518,3302,2971,2849,1,0.43,0.57,0.51,0.49,6204,5820,384,3202,2618,1,0.94,0.06,0.55,0.45,1,9452,8498,8041,1,0.9,0.85,2971,49,1,0.02,5949,2320,394,1840,569,194,632,1,0.39,0.07,0.31,0.1,0.03,0.11,31.37,5820,505,567,534,735,913,2566,1,0.09,0.1,0.09,0.13,0.16,0.44,131161.01,6204,1955,26,0,0,0,76,4131,16,0,1,0.32,0,0,0,0,0.01,0.67,0,0,3202,35,37,20,10,136,576,1595,1299,1,0.01,0.01,0.01,0,0.04,0.18,0.5,0.41,861340.68,5820,1161,2799,1450,410,1,0.2,0.48,0.25,0.07,2618,2538,0,0,0,21,32,278,2287,80,1,0.97,0,0,0,0.01,0.01,0.11,0.87,0.03,2935.92,392570.3256999999,143655.00789999962
91,GAITHERSBURG,22707,10554,4583,2021,59,4865,1250,10139,12568,1,0.46,0.2,0.09,0,0.21,0.06,0.45,0.55,22707,2035,3510,2057,4202,3447,2547,1721,3188,1,0.09,0.15,0.09,0.19,0.15,0.11,0.08,0.14,8011,2566,5445,4921,3090,1,0.32,0.68,0.61,0.39,8567,8011,556,2271,5740,1,0.94,0.06,0.28,0.72,1,15105,8162,5217,1,0.54,0.35,4921,645,1,0.13,11030,6171,2036,2209,175,203,236,1,0.56,0.18,0.2,0.02,0.02,0.02,30.89,8011,1320,1775,1795,1013,1316,792,1,0.16,0.22,0.22,0.13,0.16,0.1,62681.06,8567,1158,1330,122,173,1326,1913,2467,78,0,1,0.14,0.16,0.01,0.02,0.15,0.22,0.29,0.01,0,2271,69,66,248,284,403,1072,484,0,1,0.03,0.03,0.11,0.13,0.18,0.47,0.21,0,312220.15,8011,1368,3576,2309,714,1,0.17,0.45,0.29,0.09,5740,5600,136,200,90,50,331,2035,2898,140,1,0.98,0.02,0.03,0.02,0.01,0.06,0.35,0.5,0.02,1489.68,383311.17849999666,163737.8889000006
89,GARRETT PARK,14055,9886,1497,1218,97,866,982,3001,11054,1,0.7,0.11,0.09,0.01,0.06,0.07,0.21,0.79,14055,811,1921,1135,2396,2006,1955,1703,2128,1,0.06,0.14,0.08,0.17,0.14,0.14,0.12,0.15,5592,1841,3751,3254,2338,1,0.33,0.67,0.58,0.42,5789,5592,197,3649,1943,1,0.97,0.03,0.65,0.35,1,10188,7530,6281,1,0.74,0.62,3254,94,1,0.03,7820,4901,510,1700,99,151,459,1,0.63,0.07,0.22,0.01,0.02,0.06,30.98,5592,355,634,848,973,1103,1679,1,0.06,0.11,0.15,0.17,0.2,0.3,99640.29,5789,3440,377,19,60,416,606,871,0,0,1,0.59,0.07,0,0.01,0.07,0.1,0.15,0,0,3649,44,10,21,46,764,1452,1684,153,1,0.01,0,0.01,0.01,0.21,0.4,0.46,0.04,429407.71,5592,366,2292,2080,783,1,0.07,0.41,0.37,0.14,1943,1905,32,44,18,36,7,265,1541,38,1,0.98,0.02,0.02,0.01,0.02,0,0.14,0.79,0.02,2750.68,391905.45109999925,152335.17379999906
93,GERMANTOWN,22126,9976,6896,3072,197,1245,1480,5849,16277,1,0.45,0.31,0.14,0.01,0.06,0.07,0.26,0.74,22126,1830,4084,2227,4128,3466,3310,2030,1051,1,0.08,0.18,0.1,0.19,0.16,0.15,0.09,0.05,7869,2021,5848,5341,2528,1,0.26,0.74,0.68,0.32,8301,7869,432,4127,3742,1,0.95,0.05,0.52,0.48,1,13985,9168,6523,1,0.66,0.47,5341,380,1,0.07,12133,8786,1475,1270,241,0,361,1,0.72,0.12,0.1,0.02,0,0.03,31.48,7869,738,1302,1615,1147,1711,1356,1,0.09,0.17,0.21,0.15,0.22,0.17,81091.98,8301,1096,3782,117,286,529,2079,412,0,0,1,0.13,0.46,0.01,0.03,0.06,0.25,0.05,0,0,4127,105,0,142,474,1550,1362,954,46,1,0.03,0,0.03,0.11,0.38,0.33,0.23,0.01,286612.9,7869,378,3230,3262,969,1,0.05,0.41,0.41,0.12,3742,3688,21,17,0,33,0,1611,2060,54,1,0.99,0.01,0,0,0.01,0,0.43,0.55,0.01,1775.32,376624.62370000035,167274.89600000158
4,GILROY ROAD,1800,1286,160,269,0,5,160,15,1785,1,0.71,0.09,0.15,0,0,0.09,0.01,0.99,1800,92,177,56,176,305,137,297,560,1,0.05,0.1,0.03,0.1,0.17,0.08,0.17,0.31,747,333,414,370,377,1,0.45,0.55,0.5,0.5,864,747,117,550,197,1,0.86,0.14,0.74,0.26,1,1475,1066,820,1,0.72,0.56,370,26,1,0.07,809,601,45,20,16,32,95,1,0.74,0.06,0.02,0.02,0.04,0.12,18.65,747,124,132,142,44,98,207,1,0.17,0.18,0.19,0.06,0.13,0.28,70686.62,864,299,78,0,0,6,11,470,0,0,1,0.35,0.09,0,0,0.01,0.01,0.54,0,0,550,4,11,11,21,146,132,282,76,1,0.01,0.02,0.02,0.04,0.27,0.24,0.51,0.14,424242.42,747,94,292,230,97,1,0.13,0.39,0.31,0.13,197,192,0,0,0,7,0,33,157,5,1,0.97,0,0,0,0.04,0,0.17,0.8,0.03,2748.76,429101.7748000026,201587.67960000038
79,GLENMONT,18812,4995,3910,1841,5,7485,1152,9304,9508,1,0.27,0.21,0.1,0,0.4,0.06,0.49,0.51,18812,2004,3290,1882,2572,2809,2096,1901,2258,1,0.11,0.17,0.1,0.14,0.15,0.11,0.1,0.12,5328,997,4331,4101,1227,1,0.19,0.81,0.77,0.23,5595,5328,267,2593,2735,1,0.95,0.05,0.49,0.51,1,11636,6711,3498,1,0.58,0.3,4101,537,1,0.13,8965,4957,1208,2274,93,142,291,1,0.55,0.13,0.25,0.01,0.02,0.03,34.44,5328,752,1192,942,904,862,676,1,0.14,0.22,0.18,0.17,0.16,0.13,69108.28,5595,2651,388,6,54,1236,1030,223,7,0,1,0.47,0.07,0,0.01,0.22,0.18,0.04,0,0,2593,31,43,29,162,558,1521,559,8,1,0.01,0.02,0.01,0.06,0.22,0.59,0.22,0,362261.67,5328,503,2006,1859,896,1,0.09,0.38,0.35,0.17,2735,2699,0,32,0,8,47,607,2041,36,1,0.99,0,0.01,0,0,0.02,0.22,0.75,0.01,2624.4,395364.7644999996,154866.23999999836
55,GREENBELT,13640,4989,4708,969,44,2404,1052,4368,9272,1,0.37,0.35,0.07,0,0.18,0.08,0.32,0.68,13640,1078,2296,1057,3137,2218,1387,1589,878,1,0.08,0.17,0.08,0.23,0.16,0.1,0.12,0.06,4598,1318,3280,2752,1846,1,0.29,0.71,0.6,0.4,4973,4598,375,1888,2710,1,0.92,0.08,0.41,0.59,1,9209,5344,3401,1,0.58,0.37,2752,249,1,0.09,7372,4802,825,1271,197,63,214,1,0.65,0.11,0.17,0.03,0.01,0.03,31.84,4598,584,687,1219,599,968,541,1,0.13,0.15,0.27,0.13,0.21,0.12,71082.85,4973,2190,379,31,50,275,1619,429,0,0,1,0.44,0.08,0.01,0.01,0.06,0.33,0.09,0,0,1888,39,40,165,308,791,404,418,7,1,0.02,0.02,0.09,0.16,0.42,0.21,0.22,0,249557.52,4598,402,1861,1683,570,1,0.09,0.4,0.37,0.12,2710,2666,21,28,9,19,27,867,1739,44,1,0.98,0.01,0.01,0,0.01,0.01,0.32,0.64,0.02,2228.79,407684.1015999988,149248.00019999966
72,GROSVENOR-STRATHMORE,18415,14051,1285,2188,28,216,1294,1870,16545,1,0.76,0.07,0.12,0,0.01,0.07,0.1,0.9,18415,1168,2017,1281,3535,2967,2349,2203,2895,1,0.06,0.11,0.07,0.19,0.16,0.13,0.12,0.16,8202,3003,5199,4391,3811,1,0.37,0.63,0.54,0.46,8486,8202,284,4642,3560,1,0.97,0.03,0.57,0.43,1,13949,11843,10954,1,0.85,0.79,4391,89,1,0.02,9987,5606,477,2938,111,173,682,1,0.56,0.05,0.29,0.01,0.02,0.07,32.35,8202,617,757,995,1067,1622,3144,1,0.08,0.09,0.12,0.13,0.2,0.38,120499.38,8486,2649,933,35,147,633,736,3343,10,0,1,0.31,0.11,0,0.02,0.07,0.09,0.39,0,0,4642,27,10,50,150,957,579,3287,466,1,0.01,0,0.01,0.03,0.21,0.12,0.71,0.1,614024.14,8202,440,3942,3186,578,1,0.05,0.48,0.39,0.07,3560,3453,12,0,13,19,33,518,2965,107,1,0.97,0,0,0,0.01,0.01,0.15,0.83,0.03,2836.05,391008.000500001,151260.4840000011
49,HALETHORPE,10010,8602,668,479,0,28,466,205,9805,1,0.86,0.07,0.05,0,0,0.05,0.02,0.98,10010,707,1433,540,1927,1251,1406,1412,1334,1,0.07,0.14,0.05,0.19,0.12,0.14,0.14,0.13,3650,1032,2618,2394,1256,1,0.28,0.72,0.66,0.34,3917,3650,267,2913,737,1,0.93,0.07,0.8,0.2,1,7330,4661,1905,1,0.64,0.26,2394,119,1,0.05,5274,4609,354,118,9,67,117,1,0.87,0.07,0.02,0,0.01,0.02,22.29,3650,341,542,565,760,863,579,1,0.09,0.15,0.15,0.21,0.24,0.16,87401.32,3917,2267,1309,142,42,81,55,21,0,0,1,0.58,0.33,0.04,0.01,0.02,0.01,0.01,0,0,2913,66,64,145,618,1464,544,149,5,1,0.02,0.02,0.05,0.21,0.5,0.19,0.05,0,238490.44,3650,195,981,1601,810,1,0.05,0.27,0.44,0.22,737,675,0,0,28,13,26,298,372,62,1,0.92,0,0,0.04,0.02,0.04,0.4,0.5,0.08,1453.86,426624.36869999766,174481.99450000003
20,HAMBURG STREET,13356,9031,3227,536,44,187,662,685,12671,1,0.68,0.24,0.04,0,0.01,0.05,0.05,0.95,13356,472,961,1688,5004,1491,1100,1306,1334,1,0.04,0.07,0.13,0.37,0.11,0.08,0.1,0.1,6315,2535,3780,2175,4140,1,0.4,0.6,0.34,0.66,6968,6315,653,2585,3730,1,0.91,0.09,0.41,0.59,1,10235,7881,6420,1,0.77,0.63,2175,132,1,0.06,8534,5564,373,725,1336,145,391,1,0.65,0.04,0.08,0.16,0.02,0.05,23.75,6315,1228,898,942,623,1237,1387,1,0.19,0.14,0.15,0.1,0.2,0.22,78591.49,6968,422,3891,387,359,176,133,1600,0,0,1,0.06,0.56,0.06,0.05,0.03,0.02,0.23,0,0,2585,45,72,224,221,764,814,856,86,1,0.02,0.03,0.09,0.09,0.3,0.31,0.33,0.03,295615.18,6315,1096,2658,1950,611,1,0.17,0.42,0.31,0.1,3730,3618,50,138,243,172,308,804,2015,112,1,0.97,0.01,0.04,0.07,0.05,0.08,0.22,0.54,0.03,1663.32,432785.0876000002,178999.5102000013
1,HUNT VALLEY,3809,3228,189,344,6,34,16,64,3745,1,0.85,0.05,0.09,0,0.01,0,0.02,0.98,3809,115,374,212,300,244,717,506,1341,1,0.03,0.1,0.06,0.08,0.06,0.19,0.13,0.35,1538,543,995,960,578,1,0.35,0.65,0.62,0.38,1773,1538,235,1242,296,1,0.87,0.13,0.81,0.19,1,3108,2417,1821,1,0.78,0.59,960,29,1,0.03,1917,1582,130,71,16,10,108,1,0.83,0.07,0.04,0.01,0.01,0.06,30.2,1538,145,230,190,135,372,466,1,0.09,0.15,0.12,0.09,0.24,0.3,109274.19,1773,755,501,7,23,6,11,470,0,0,1,0.43,0.28,0,0.01,0,0.01,0.27,0,0,1242,31,17,11,28,241,529,572,18,1,0.02,0.01,0.01,0.02,0.19,0.43,0.46,0.01,410775.05,1538,117,554,614,233,1,0.08,0.36,0.4,0.15,296,271,0,0,0,7,7,56,226,25,1,0.92,0,0,0,0.02,0.02,0.19,0.76,0.08,2514.67,429733.4905000031,203154.92159999907
58,JESSUP,11615,5380,5211,110,18,481,830,935,10680,1,0.46,0.45,0.01,0,0.04,0.07,0.08,0.92,11615,177,767,1127,2969,1977,2464,1542,592,1,0.02,0.07,0.1,0.26,0.17,0.21,0.13,0.05,1846,459,1387,1243,603,1,0.25,0.75,0.67,0.33,2014,1846,168,1221,625,1,0.92,0.08,0.66,0.34,1,9544,4987,1368,1,0.52,0.14,1243,0,1,0,2449,1930,278,140,24,26,51,1,0.79,0.11,0.06,0.01,0.01,0.02,25.44,1846,154,207,251,221,614,399,1,0.08,0.11,0.14,0.12,0.33,0.22,107328.99,2014,977,68,53,0,0,83,451,382,0,1,0.49,0.03,0.03,0,0,0.04,0.22,0.19,0,1221,173,127,68,0,155,453,496,14,1,0.14,0.1,0.06,0,0.13,0.37,0.41,0.01,338631.35,1846,75,450,990,307,1,0.04,0.24,0.54,0.17,625,625,0,0,0,0,76,131,418,0,1,1,0,0,0,0,0.12,0.21,0.67,0,2383.63,419330.4195000008,164859.67709999904
43,JOHNS HOPKINS HOSPITAL,18013,4141,12888,429,61,264,460,1300,16713,1,0.23,0.72,0.02,0,0.01,0.03,0.07,0.93,18013,877,3274,1937,3588,2326,2101,1997,1913,1,0.05,0.18,0.11,0.2,0.13,0.12,0.11,0.11,7475,3403,4072,3303,4172,1,0.46,0.54,0.44,0.56,9161,7475,1686,1922,5553,1,0.82,0.18,0.26,0.74,1,11925,6965,3465,1,0.58,0.29,3303,1049,1,0.32,6768,2672,519,1870,1323,132,252,1,0.39,0.08,0.28,0.2,0.02,0.04,24.02,7475,3292,1395,1097,593,786,312,1,0.44,0.19,0.15,0.08,0.11,0.04,32983.87,9161,247,5729,516,428,469,411,1361,0,0,1,0.03,0.63,0.06,0.05,0.05,0.04,0.15,0,0,1922,89,319,296,318,455,342,723,4,1,0.05,0.17,0.15,0.17,0.24,0.18,0.38,0,190408.81,7475,3715,2574,956,207,1,0.5,0.34,0.13,0.03,5553,5423,476,983,792,520,880,996,906,130,1,0.98,0.09,0.18,0.14,0.09,0.16,0.18,0.16,0.02,722.28,435004.9711000025,181090.78409999982
88,KENSINGTON,15045,11350,1337,952,19,701,1372,2529,12516,1,0.75,0.09,0.06,0,0.05,0.09,0.17,0.83,15045,968,2587,973,1673,1916,2280,2293,2355,1,0.06,0.17,0.06,0.11,0.13,0.15,0.15,0.16,5367,1242,4125,3664,1703,1,0.23,0.77,0.68,0.32,5574,5367,207,4159,1208,1,0.96,0.04,0.77,0.23,1,10517,8111,6906,1,0.77,0.66,3664,161,1,0.04,7745,5092,759,1167,133,146,448,1,0.66,0.1,0.15,0.02,0.02,0.06,32.16,5367,558,461,607,647,851,2243,1,0.1,0.09,0.11,0.12,0.16,0.42,124118.68,5574,4278,272,51,96,170,125,582,0,0,1,0.77,0.05,0.01,0.02,0.03,0.02,0.1,0,0,4159,56,18,92,91,126,1478,2835,297,1,0.01,0,0.02,0.02,0.03,0.36,0.68,0.07,554597.7,5367,436,1612,2205,1041,1,0.08,0.3,0.41,0.19,1208,1158,79,62,18,49,110,312,578,50,1,0.96,0.07,0.05,0.01,0.04,0.09,0.26,0.48,0.04,1418.27,393786.45380000025,150986.80840000138
64,LANDOVER,16859,2737,11779,219,103,1647,748,3708,13151,1,0.16,0.7,0.01,0.01,0.1,0.04,0.22,0.78,16859,1407,2812,1791,2834,2320,2296,1929,1470,1,0.08,0.17,0.11,0.17,0.14,0.14,0.11,0.09,5721,1341,4380,4145,1576,1,0.23,0.77,0.72,0.28,6217,5721,496,2665,3056,1,0.92,0.08,0.47,0.53,1,10849,5657,2128,1,0.52,0.2,4145,314,1,0.08,8531,5331,895,1803,247,29,226,1,0.62,0.1,0.21,0.03,0,0.03,33.44,5721,838,1332,1381,813,867,490,1,0.15,0.23,0.24,0.14,0.15,0.09,62500,6217,2577,1090,60,98,918,1217,257,0,0,1,0.41,0.18,0.01,0.02,0.15,0.2,0.04,0,0,2665,79,124,215,680,1196,348,274,14,1,0.03,0.05,0.08,0.26,0.45,0.13,0.1,0.01,219607.02,5721,849,2157,1885,801,1,0.15,0.38,0.33,0.14,3056,3000,0,7,32,72,137,1811,997,56,1,0.98,0,0,0.01,0.02,0.04,0.59,0.33,0.02,1345.67,409427.28869999945,140616.96599999815
86,LARGO TOWN CENTER,4728,86,4522,50,0,41,58,41,4687,1,0.02,0.96,0.01,0,0.01,0.01,0.01,0.99,4728,160,732,296,808,710,586,583,853,1,0.03,0.15,0.06,0.17,0.15,0.12,0.12,0.18,2336,1152,1184,1029,1307,1,0.49,0.51,0.44,0.56,2635,2336,299,830,1506,1,0.89,0.11,0.36,0.64,1,3540,2309,1433,1,0.65,0.4,1029,90,1,0.09,2161,1138,194,742,0,22,65,1,0.53,0.09,0.34,0,0.01,0.03,46.38,2336,276,366,636,462,356,240,1,0.12,0.16,0.27,0.2,0.15,0.1,70676.1,2635,206,768,6,92,81,632,850,0,0,1,0.08,0.29,0,0.03,0.03,0.24,0.32,0,0,830,20,13,68,233,352,129,56,7,1,0.02,0.02,0.08,0.28,0.42,0.16,0.07,0.01,223011.36,2336,342,1466,410,101,1,0.15,0.63,0.18,0.04,1506,1506,0,0,14,50,14,290,1138,0,1,1,0,0,0.01,0.03,0.01,0.19,0.76,0,2684.43,413498.23529999703,136993.87790000066
101,LAUREL,10782,3968,4135,1404,16,481,1556,1575,9207,1,0.37,0.38,0.13,0,0.04,0.14,0.15,0.85,10782,627,1746,956,2167,1554,1628,1320,784,1,0.06,0.16,0.09,0.2,0.14,0.15,0.12,0.07,4122,1376,2746,2388,1734,1,0.33,0.67,0.58,0.42,4464,4122,342,1871,2251,1,0.92,0.08,0.45,0.55,1,7453,4816,2863,1,0.65,0.38,2388,175,1,0.07,6013,4643,527,354,277,38,174,1,0.77,0.09,0.06,0.05,0.01,0.03,30.76,4122,474,755,828,624,770,671,1,0.11,0.18,0.2,0.15,0.19,0.16,75160.26,4464,1157,1363,40,82,361,692,717,52,0,1,0.26,0.31,0.01,0.02,0.08,0.16,0.16,0.01,0,1871,54,23,80,134,473,1085,176,0,1,0.03,0.01,0.04,0.07,0.25,0.58,0.09,0,331612.9,4122,190,1819,1395,704,1,0.05,0.44,0.34,0.17,2251,2228,0,11,0,29,278,900,1033,23,1,0.99,0,0,0,0.01,0.12,0.4,0.46,0.01,1442.22,413691.6661000028,159371.76150000095
