,jurscode,acctid,digxcord,digycord,ooi,resityp,desclu,acres,pflw,sqftstrc,strugrad,desccnst,descstyl,descbldg,lastassd,convey1,tradate,salepric,taxbase,geometry,fips,ct,bg,age,station_name,line,mta_metro,light_rail,marc_penn,marc_camden,x,y,dist_stat,lndist_stat,halfmi_dummy,qmi_dummy,road_name,dist_exit,prsqf,mhinc,occrate
57691,BACO,04080818001780,433067.8,196720.2,H,SF,Residential,0.172,0,1604,4.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2015,339000,277900.0,POINT (433067.799999997 196720.1999999993),005,408601,3,63.0,TIMONIUM BUSINESS PARK,Light Rail,0,1,0,0,432007.2373,196230.3493,1168.223843668144,7.0632397920023875,0,0,JONES FALLS EXPWY,1533.5000102357,211.34663341645884,104215.0,0.9633747547416612
57692,BACO,04080819078990,433079.0,196777.0,H,SF,Residential,0.192,0,1572,4.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2014,195000,272300.0,POINT (433079 196777),005,408601,4,61.0,TIMONIUM BUSINESS PARK,Light Rail,0,1,0,0,432007.2373,196230.3493,1203.1218861452996,7.092675029333828,0,0,JONES FALLS EXPWY,1546.030879965335,124.04580152671755,104215.0,0.9633747547416612
57693,BACO,04080820055325,433140.3,196780.5,H,SF,Residential,0.192,0,1560,4.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2015,355400,284000.0,POINT (433140.299999997 196780.5),005,408601,4,62.0,TIMONIUM BUSINESS PARK,Light Rail,0,1,0,0,432007.2373,196230.3493,1259.5621758512252,7.138519460077385,0,0,JONES FALLS EXPWY,1607.4238689365861,227.82051282051282,104215.0,0.9633747547416612
57694,BACO,04080816076390,433143.9,196726.0,H,SF,Residential,0.172,0,1428,4.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2016,279900,265900.0,POINT (433143.8999999985 196726),005,408601,3,67.0,TIMONIUM BUSINESS PARK,Light Rail,0,1,0,0,432007.2373,196230.3493,1240.0289149767593,7.122889976856855,0,0,JONES FALLS EXPWY,1609.6376720723335,196.00840336134453,104215.0,0.9633747547416612
57699,BACO,04081800011874,432282.4,198270.2,H,SF,Residential,0.358,0,2136,4.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,475000,370000.0,POINT (432282.3999999985 198270.1999999993),005,408505,2,35.0,TIMONIUM FAIRGROUNDS,Light Rail,0,1,0,0,431422.0074,197865.5839,950.7836843945109,6.857286575467657,0,0,JONES FALLS EXPWY,1728.121940599067,222.37827715355806,92179.0,0.9720101781170484
57700,BACO,04081800011887,432409.8,198199.1,H,SF,Residential,0.248,0,1728,4.0,CNST Siding,STRY 2 Story No Basement,DWEL Split Level,2017.0,1,2017,375000,294100.0,POINT (432409.799999997 198199.1000000015),005,408505,2,36.0,TIMONIUM FAIRGROUNDS,Light Rail,0,1,0,0,431422.0074,197865.5839,1042.5771959759495,6.949450999829265,0,0,JONES FALLS EXPWY,1725.3350986380976,217.01388888888889,92179.0,0.9720101781170484
57701,BACO,04081800011886,432432.5,198194.4,H,SF,Residential,0.248,0,2136,4.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2014,440000,378500.0,POINT (432432.5 198194.3999999985),005,408505,2,32.0,TIMONIUM FAIRGROUNDS,Light Rail,0,1,0,0,431422.0074,197865.5839,1062.6454358218396,6.96851677220475,0,0,JONES FALLS EXPWY,1732.9426639283968,205.99250936329588,92179.0,0.9720101781170484
57702,BACO,04080818013310,432552.8,198121.0,H,SF,Residential,0.526,0,2326,4.0,CNST 1/2 Brick Siding,STRY 2 Story No Basement,DWEL Split Level,2017.0,1,2014,385000,358400.0,POINT (432552.799999997 198121),005,408505,2,46.0,TIMONIUM FAIRGROUNDS,Light Rail,0,1,0,0,431422.0074,197865.5839,1159.2796419963674,7.055554092922121,0,0,JONES FALLS EXPWY,1738.2440967206835,165.52020636285468,92179.0,0.9720101781170484
57708,BACO,04080803002360,431904.6,195456.2,H,SF,Residential,0.188,0,1436,4.0,CNST Brick,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2016,250000,249800.0,POINT (431904.6000000015 195456.1999999993),005,408800,2,62.0,LUTHERVILLE,Light Rail,0,1,0,0,432102.3738,195694.8997,309.98713319475223,5.736530790794421,0,1,CHARLES ST,1104.3322624479588,174.09470752089138,90708.0,0.9255419415645616
57709,BACO,04080803051731,431771.4,195568.0,H,SF,Residential,0.419,0,1760,4.0,CNST Siding,STRY 2 Story No Basement,DWEL Split Level,2017.0,1,2016,349900,332500.0,POINT (431771.3999999985 195568),005,408800,2,51.0,LUTHERVILLE,Light Rail,0,1,0,0,432102.3738,195694.8997,354.46747403325946,5.8706165900935146,0,1,TIMONIUM RD W,1166.5705998764083,198.8068181818182,90708.0,0.9255419415645616
